timestamp,open,high,low,close,volume
2021-10-04,296.4800,297.9700,292.0000,294.6500,1495164
2021-10-01,295.5400,298.5400,292.5600,297.8500,1597413
2021-09-30,299.2900,300.4600,293.3000,293.3800,2085666
2021-09-29,299.6700,300.5100,298.3200,299.1400,1197745
2021-09-28,305.5400,305.6700,298.2300,299.9300,2278017
2021-09-27,310.4900,312.2900,308.4700,309.2100,1021570
2021-09-24,308.2200,311.1200,307.8100,310.2600,926192
2021-09-23,308.8700,311.8500,308.5500,310.3700,1066956
2021-09-22,306.0700,309.2876,305.6900,306.0600,1333990
2021-09-21,305.5100,306.1000,303.0500,304.9600,1216239
2021-09-20,301.8000,304.5600,299.5700,302.2100,1885205
2021-09-17,309.3500,311.2700,305.9800,309.3200,6512518
2021-09-16,314.0900,314.8800,309.9225,313.0800,1232348
2021-09-15,313.4800,315.0500,311.5600,314.5300,1418981
2021-09-14,315.6200,315.7800,310.9900,311.9400,1128586
2021-09-13,314.5620,315.5700,311.1800,313.5000,1354045
2021-09-10,313.1500,314.1900,310.1100,310.4400,971170
2021-09-09,312.9300,315.5100,312.1800,312.7000,1211232
2021-09-08,314.0500,315.8200,310.3500,311.5900,1521798
2021-09-07,316.2800,317.0300,312.7900,315.6400,1382707
2021-09-03,314.4200,316.1830,313.3400,313.4300,1150830
2021-09-02,314.4300,315.6725,313.7950,315.5700,893067
2021-09-01,313.4900,315.4900,312.1300,313.8800,1050677
2021-08-31,315.1300,315.4700,313.4700,314.5900,1492948
2021-08-30,315.5800,316.2900,314.5900,315.5500,747550
2021-08-27,313.2900,314.9900,312.3400,314.5400,1268969
2021-08-26,313.5400,313.9200,311.2200,311.3200,880053
2021-08-25,310.5400,313.5550,309.9800,312.8500,801437
2021-08-24,313.7400,314.3100,311.9000,312.4800,689440
2021-08-23,312.8800,314.3600,312.8200,312.8300,988626
2021-08-20,310.8700,314.1200,310.7200,313.8500,1165261
2021-08-19,308.2500,311.9400,307.7500,311.1700,1402537
2021-08-18,312.4200,314.3700,309.7000,309.9100,1278834
2021-08-17,311.5800,312.3100,307.7800,311.5200,1408557
2021-08-16,309.8700,311.7100,308.3200,311.3500,1267575
2021-08-13,308.1400,309.4200,307.3100,309.4000,816442
2021-08-12,308.0000,308.6800,304.7800,306.6600,784507
2021-08-11,307.3450,307.9000,303.6700,306.3000,1803128
2021-08-10,301.9600,304.7000,300.9500,301.7800,1448379
2021-08-09,306.1100,306.1800,301.7400,303.2600,910300
2021-08-06,304.9700,306.8800,303.9300,305.8700,858928
2021-08-05,307.4000,308.9900,304.4200,304.8300,1586469
2021-08-04,304.4800,307.7200,304.4800,305.6200,1476717
2021-08-03,300.6900,303.2150,300.0500,302.9200,1133017
2021-08-02,308.7300,310.1900,300.1200,300.2200,1927668
2021-07-30,302.4000,308.8000,302.0000,307.3900,2516649
2021-07-29,297.7200,300.5800,297.3300,299.4500,1292954
2021-07-28,298.0500,298.7100,296.5800,296.8600,1063510
2021-07-27,297.6500,300.6280,295.5800,298.8500,1551435
2021-07-26,299.5300,300.0300,296.8500,298.4700,1398407
2021-07-23,297.2000,299.0200,296.1800,298.8100,1102817
2021-07-22,296.6600,297.0500,294.5350,295.2200,914637
2021-07-21,291.9100,294.7200,291.5300,294.2000,1370239
2021-07-20,285.2600,291.5200,284.6300,290.3700,1973587
2021-07-19,285.2300,285.4300,282.7500,284.6700,1718120
2021-07-16,292.7700,293.1700,289.1500,290.0700,1306302
2021-07-15,289.2200,293.5000,288.9900,292.0500,1220958
2021-07-14,290.8000,292.1200,289.5000,291.0900,1106256
2021-07-13,291.9400,292.5500,288.8350,289.7200,1342975
2021-07-12,292.3500,294.6600,291.7300,292.5200,1382877
2021-07-09,290.9000,293.8200,290.0800,292.7100,1405813
2021-07-08,287.0400,287.9608,284.7100,286.9900,1587112
2021-07-07,290.2800,292.7700,289.3300,292.5300,1228639
2021-07-06,291.4500,291.9100,287.4700,288.5000,1288058
2021-07-02,290.7000,292.3500,289.5400,291.7600,1066408
2021-07-01,289.6900,290.9000,288.9600,290.8400,1434795
2021-06-30,288.2000,289.8800,287.9500,289.1000,1546798
2021-06-29,291.7600,293.1000,289.7100,290.3700,1181761
2021-06-28,288.9700,289.8600,287.2000,289.6900,1969330
2021-06-25,285.1400,286.8800,283.0000,285.1100,23411975
2021-06-24,287.3140,287.7400,284.8200,285.1300,3124343
2021-06-23,289.7300,290.3500,284.2800,284.7600,2685003
2021-06-22,290.8000,291.4900,289.3500,290.3500,2406862
2021-06-21,286.6700,288.6300,285.3800,288.3300,2282809
2021-06-18,284.1200,285.5600,281.9900,282.0200,3882375
2021-06-17,288.7400,289.4600,285.3650,287.2400,2397810
2021-06-16,294.7400,294.9800,289.3400,289.5600,2363900
2021-06-15,293.7000,293.7200,288.9500,290.9100,2011537
